V39	0.998447  11010001000000001011111000001000101010101001100110001100110010010100111100000101000111010100101011110100001111000001001011101001
V40	0.922033  01000001000110010111011010001010001010001101110110010100001010110000111110001111000111000000101011110101001110100100000011101001
V41	1         01000001000100011011111011001010000010101001100110000100011110110100011100000111000111000000100011110111101110100101011011100000
V42	0.911152  01000111000100011111110000001010101010001001000110000100011010110010011100000111000111011000001010110100001110101101001011101000
V43	1         01001000000100111011111001001010101110111001100111000100010010000000011100000111000111010000101011110101001110000101001011101011
V44	1         01000001000100001011111000001010100010001000100110011100011000110000011100000111100001011000101011100101101011101101001010101000
V45	0.913146  01000001010000010011101111001000010000101011100110000100011100110100011100000111000111000000100011100111001110001100011010100010
V46	1         11110001000000011011111000001010101000111001100110010111011010110000011001100111010111010001101011110100001010101001101011101001
V47	1         01000001000100011011011001011110101001101000100110000000101011010000011101110111100111010000110011110101001110100101001111101000
V48	1         01000001000100111011010100001110101010101001100011000100011010110000011100000111000111010000101011110100001110100101000011000111
V49	0.957783  01001001001100001011011000101000111010101001110100000100010010110000011101100101100101010000001011111001011110100101001011111001
V50	0.93561   01000001001100011011111000001010001011101100000110000100011011110000011100001111110111010101101011010101001110100101101011101001
V51	0.915145  01001000000100011011101000001110001100000011100110000100011010010000011100000111010111011000101011110101001110111101001011001101
V52	1         01010011000110110111111010001010101010101001100110000000011010110010011000000111000111010000001010110011001110100101011011101001
V53	1         01000001001100001011111000001010100000101001100110000100011000111000011101100101100011010000101011111111001010100101001011101001
V54	0.909844  11000001000110011101011111001111001010001101000110000100011110111100011100000111010101000000000011110111101110000101111011100000
V55	1         01000001000000011011111111001010000010101011100110000100111110110100111111100111100110001000100011010111101110100101011011100000
